Fecha,Hora,pH,DO,Temperatura,LED1,LED2,LED3,LED4,LED5
21/09/2022,20:50:15,8.39,26.22,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,20:50:21,7.97,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,20:50:26,7.55,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,20:50:31,7.13,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,20:50:37,6.68,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,20:52:35,21/09/2022,20:52:39,11.66,
21/09/2022,21:14:26,14.00,26.22,20.00,10.00,10.00,29.36,10.00,10.00
21/09/2022,21:14:31,14.00,26.22,20.00,10.00,10.00,29.49,10.00,10.00
21/09/2022,21:14:37,14.00,26.21,20.00,10.00,10.00,29.60,10.00,10.00
21/09/2022,21:14:42,13.81,26.21,
21/09/2022,21:15:56,8.04,26.21,20.00,10.00,10.00,31.38,10.00,10.00
21/09/2022,21:16:02,7.64,0.00,20.00,10.00,10.00,31.47,10.00,10.00
21/09/2022,21:16:06,7.31,0.00,20.00,10.00,10.00,31.56,10.00,10.00
21/09/2022,21:16:10,7.00,0.00,
21/09/2022,21:16:27,5.42,26.22,20.00,10.00,10.00,32.07,10.00,10.00
21/09/2022,21:16:33,0.00,26.21,0.00
21/09/2022,21:27:56,0.00,26.22,20.00,10.00,10.00,47.38,10.00,10.00
21/09/2022,21:28:02,0.00,26.21,20.00,10.00,10.00,47.49,10.00,10.00
21/09/2022,21:28:07,0.00,26.21,20.00,10.00,10.00,47.62,10.00,10.00
21/09/2022,21:28:13,0.00,0.00,0.00
21/09/2022,21:38:04,0.00,26.22,20.00,10.00,90.00,60.87,10.00,10.00
21/09/2022,21:38:09,0.00,26.21,20.00,10.00,90.00,60.98,10.00,10.00
21/09/2022,21:38:14,0.00,26.21,20.00,10.00,90.00,61.11,10.00,10.00
21/09/2022,21:38:20,0.00,0.00,0.00
21/09/2022,21:40:34,0.00,26.21,20.00,10.00,79.60,64.20,10.00,10.00
21/09/2022,21:40:39,0.00,26.21,20.00,10.00,78.27,64.31,10.00,10.00
21/09/2022,21:40:44,0.00,26.21,20.00,10.00,76.67,64.44,10.00,10.00
21/09/2022,21:40:50,0.00,26.21,20.00,10.00,75.33,64.56,10.00,10.00
21/09/2022,21:40:55,0.00,26.21,20.00,10.00,74.00,64.67,10.00,10.00
21/09/2022,21:41:00,0.00,26.21,20.00,10.00,72.40,64.80,10.00,10.00
21/09/2022,21:41:06,0.00,26.21,20.00,10.00,71.07,64.91,10.00,10.00
21/09/2022,21:41:11,0.00,26.21,20.00,10.00,69.47,65.04,10.00,10.00
21/09/2022,21:41:17,0.00,26.21,20.00,10.00,68.13,65.16,10.00,10.00
21/09/2022,21:41:22,0.00,26.21,20.00,10.00,66.80,65.27,10.00,10.00
21/09/2022,21:41:27,0.00,26.21,20.00,10.00,65.20,65.40,10.00,10.00
21/09/2022,21:41:33,0.00,26.21,20.00,10.00,63.87,65.51,10.00,10.00
21/09/2022,21:41:38,0.00,26.21,20.00,10.00,62.53,65.62,10.00,10.00
21/09/2022,21:41:43,0.00,26.21,20.00,10.00,60.93,65.76,10.00,10.00
21/09/2022,21:41:49,0.00,26.21,20.00,10.00,59.60,65.87,10.00,10.00
21/09/2022,21:41:54,0.00,26.21,20.00,10.00,58.00,66.00,10.00,10.00
21/09/2022,21:42:00,0.00,26.22,20.00,10.00,56.67,66.11,10.00,10.00
21/09/2022,21:42:05,0.00,26.21,20.00,10.00,55.33,66.22,10.00,10.00
21/09/2022,21:42:10,0.00,26.21,20.00,10.00,53.73,66.36,10.00,10.00
21/09/2022,21:42:16,0.00,26.21,20.00,10.00,52.40,66.47,10.00,10.00
21/09/2022,21:42:21,0.00,26.21,20.00,10.00,51.07,66.58,10.00,10.00
21/09/2022,21:42:26,0.00,26.21,20.00,10.00,49.47,66.71,10.00,10.00
21/09/2022,21:42:32,0.00,26.21,20.00,10.00,48.13,66.82,10.00,10.00
21/09/2022,21:42:37,0.00,26.21,20.00,10.00,46.53,66.96,10.00,10.00
21/09/2022,21:42:43,0.00,26.21,20.00,10.00,45.20,67.07,10.00,10.00
21/09/2022,21:42:48,0.00,26.21,20.00,10.00,43.87,67.18,10.00,10.00
21/09/2022,21:42:53,0.00,26.21,20.00,10.00,42.27,67.31,10.00,10.00
21/09/2022,21:42:59,0.00,26.21,20.00,10.00,40.93,67.42,10.00,10.00
21/09/2022,21:43:04,0.00,0.00,0.00
21/09/2022,23:32:18,0.00,26.22,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:32:23,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:32:28,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:32:34,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:32:39,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:32:45,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:32:50,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:32:55,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:01,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:06,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:11,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:17,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
21/09/2022,23:33:22,0.00,26.21,20.00,10.00,10.00,10.00,10.00,10.00
